id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
11611.0,deken paquayplein,1,3740,bilzen,limburg,"deken paquayplein,1,3740,bilzen,limburg","(5.5177482, 50.8709956)",50.8709956,5.5177482
11612.0,eigenbilzenplein,4,3740,bilzen,limburg,"eigenbilzenplein,4,3740,bilzen,limburg","(5.5394622, 50.8706632)",50.8706632,5.5394622
11613.0,sint-aldegondisstraat,5,3740,bilzen,limburg,"sint-aldegondisstraat,5,3740,bilzen,limburg","(5.5477086, 50.8388299)",50.8388299,5.5477086
11614.0,sapstraat,27,3740,bilzen,limburg,"sapstraat,27,3740,bilzen,limburg","(5.5512766, 50.8310635)",50.8310635,5.5512766
11615.0,zonhoevestraat,3,3740,bilzen,limburg,"zonhoevestraat,3,3740,bilzen,limburg","(5.4726781, 50.89074129999999)",50.89074129999999,5.4726781
11616.0,schoolstraat,23,3740,bilzen,limburg,"schoolstraat,23,3740,bilzen,limburg","(5.473280700000001, 50.90352310000001)",50.90352310000001,5.473280700000001
11617.0,onze lieve vrouwstraat,18,8620,nieuwpoort,west-vlaanderen,"onze lieve vrouwstraat,18,8620,nieuwpoort,west-vlaanderen","(2.7501837, 51.1273704)",51.1273704,2.7501837
11618.0,kerkhovensesteenweg,445,3920,lommel,limburg,"kerkhovensesteenweg,445,3920,lommel,limburg","(5.2654347, 51.1611573)",51.1611573,5.2654347
11620.0,rue de mons,43,7090,braine-le-comte,hainaut,"rue de mons,43,7090,braine-le-comte,hainaut","(4.1344067, 50.60921039999999)",50.60921039999999,4.1344067
11621.0,koralenhoeve,20,2160,wommelgem,antwerpen,"koralenhoeve,20,2160,wommelgem,antwerpen","(4.5257611, 51.2102939)",51.2102939,4.5257611
11622.0,koralenhoeve,35,2160,wommelgem,antwerpen,"koralenhoeve,35,2160,wommelgem,antwerpen","(4.5269054, 51.2112327)",51.2112327,4.5269054
11623.0,schaapskooi,26,2660,hoboken,antwerpen,"schaapskooi,26,2660,hoboken,antwerpen","(4.3470642, 51.17956239999999)",51.17956239999999,4.3470642
